"Name","Description"
"Gundark, Alpha","Large Beast, unaligned. Fantasy token portrait: Gundark, Alpha"
"Gundark, Matriarch","Large Beast, unaligned. Fantasy token portrait: Gundark, Matriarch"
"Gutkurr","Large Beast, unaligned. Fantasy token portrait: Gutkurr"
"HK Series, HK-47","Medium Droid, unaligned. Fantasy token portrait: HK Series, HK-47"
"Hawk-bat","Small Beast, unaligned. Fantasy token portrait: Hawk-bat"
"Hawk-bat Swarm","Large Swarm of Small beasts, unaligned. Fantasy token portrait: Hawk-bat Swarm"
"Hidden Turret","Medium Construct, unaligned. Fantasy token portrait: Hidden Turret"
"Hive Rat","Medium Beast, unaligned. Fantasy token portrait: Hive Rat"
"Horned Kath Hound","Medium Beast, unaligned. Fantasy token portrait: Horned Kath Hound"
"Hrumph","Large Beast, unaligned. Fantasy token portrait: Hrumph"
"Hssiss","Large Aberration, chaotic dark. Fantasy token portrait: Hssiss"
"Hutt Crime Lord","Large Humanoid, unaligned. Fantasy token portrait: Hutt Crime Lord"
"Hutt Wrestler","Large Humanoid, unaligned. Fantasy token portrait: Hutt Wrestler"
"Hyena-Class Bomber","Huge Droid, unaligned. Fantasy token portrait: Hyena-Class Bomber"
"ID9 Seeker Droid","Tiny Droid, unaligned. Fantasy token portrait: ID9 Seeker Droid"
"IG Series, Model 88","Medium Droid, unaligned. Fantasy token portrait: IG Series, Model 88"
"IG-100 Series","Medium Droid, unaligned. Fantasy token portrait: IG-100 Series"
"IG-227 Hailfire-Class Droid","Huge Droid, unaligned. Fantasy token portrait: IG-227 Hailfire-Class Droid"
"ISB Infiltrator","Medium Humanoid, lawful dark. Fantasy token portrait: ISB Infiltrator"
"ISB Officer","Medium Humanoid, lawful dark. Fantasy token portrait: ISB Officer"
"IT-O Interrog. Unit","Tiny Droid, unaligned. Fantasy token portrait: IT-O Interrog. Unit"
"Ig Series, Model 86","Medium Droid, unaligned. Fantasy token portrait: Ig Series, Model 86"
"Imperial Guard Champion","Medium Humanoid, lawful dark. Fantasy token portrait: Imperial Guard Champion"
"Imperial Guard Sentinel","Medium Humanoid, lawful dark. Fantasy token portrait: Imperial Guard Sentinel"
"Imperial Royal Guard","Medium Humanoid, lawful dark. Fantasy token portrait: Imperial Royal Guard"
"Imperial Senate Guard","Medium Humanoid, lawful dark. Fantasy token portrait: Imperial Senate Guard"
"Imperial Shadow Guard","Medium Humanoid, lawful dark. Fantasy token portrait: Imperial Shadow Guard"
"Inquisitor, Grand","Medium Humanoid, lawful dark. Fantasy token portrait: Inquisitor, Grand"
"Inquisitor, Knight","Medium Humanoid, lawful dark. Spinning Doublesaber"
"Inquisitor, Master","Medium Humanoid, lawful dark. Spinning Double Saber"
"JK-13 Security Droid","Large Droid, unaligned. Fantasy token portrait: JK-13 Security Droid"
"Jakrab","Tiny Beast, unaligned. Fantasy token portrait: Jakrab"
"Jawa Scrapper","Small Humanoid, chaotic balanced. Fantasy token portrait: Jawa Scrapper"
"Jawa Shaman","Small Humanoid, chaotic balanced. Fantasy token portrait: Jawa Shaman"
"Jawa Tinkerer","Small Humanoid, chaotic balanced. Grovel, Cower, and Beg"
"Jubba Bird","Tiny Beast, unaligned. Fantasy token portrait: Jubba Bird"
"Jundland Wastes Womp Rat","Large Beast, unaligned. Fantasy token portrait: Jundland Wastes Womp Rat"
"Junk Behemoth","Huge Droid, unaligned. Fantasy token portrait: Junk Behemoth"
"Junk Droid","Medium Droid, unaligned. Fantasy token portrait: Junk Droid"
"K'lor'slug","Small Beast, unaligned. Fantasy token portrait: K'lor'slug"
"KX-Series Security Droid","Medium Droid, unaligned. Fantasy token portrait: KX-Series Security Droid"
"Kaadu","Large Beast, unaligned. Fantasy token portrait: Kaadu"
"Katarn","Large Beast, unaligned. Fantasy token portrait: Katarn"
"Kath Hound","Small Beast, unaligned. Fantasy token portrait: Kath Hound"
"Knobby White Spider","Large Plant, unaligned. Fantasy token portrait: Knobby White Spider"
"Knobby White Spiderling","Tiny Plant, unaligned. Fantasy token portrait: Knobby White Spiderling"
"Kolkpravis Baatar","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Baatar"
"Kolkpravis Blackarm","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Blackarm"
"Kolkpravis Khagan","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Khagan"
"Kolkpravis Khan","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Khan"
"Kolkpravis Tarkhan","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Tarkhan"
"Kolkpravis Warrior","Medium Humanoid, lawful balanced. Fantasy token portrait: Kolkpravis Warrior"
"Krayt Dragon, Adult","Huge Beast, unaligned. Fantasy token portrait: Krayt Dragon, Adult"
"Krayt Dragon, Greater","Gargantuan Beast, unaligned. Fantasy token portrait: Krayt Dragon, Greater"
"Krayt Dragon, Juvenile","Large Beast, unaligned. Fantasy token portrait: Krayt Dragon, Juvenile"
"L0M Series","Medium Droid, unaligned. Fantasy token portrait: L0M Series"
"LR1K Sonic Cannon","Large Construct, unaligned. Fantasy token portrait: LR1K Sonic Cannon"
"Lylek","Large Beast, unaligned. Fantasy token portrait: Lylek"
"Maalraas","Medium Beast, unaligned. Fantasy token portrait: Maalraas"
"Manifestation of Abeloth","Medium Undead, neutral dark. Fantasy token portrait: Manifestation of Abeloth"
"Marksman-H Remote","Tiny Droid, unaligned. Fantasy token portrait: Marksman-H Remote"
"Massiff","Small Beast, unaligned. Fantasy token portrait: Massiff"
"Melee Destroyer Droid","Large Droid, unaligned. Fantasy token portrait: Melee Destroyer Droid"
"Mistryl Apprentice","Medium Human, unaligned. Fantasy token portrait: Mistryl Apprentice"
"Mistryl Master","Medium Human, unaligned. Fantasy token portrait: Mistryl Master"
"Mistryl Prime","Medium Human, unaligned. Fantasy token portrait: Mistryl Prime"
"Mob","Huge Swarm of Medium humanoids, unaligned. Fantasy token portrait: Mob"
"Mole Serpent, Adult","Gargantuan Beast, unaligned. Fantasy token portrait: Mole Serpent, Adult"
"Monkey-Lizard","Small Beast, unaligned. Fantasy token portrait: Monkey-Lizard"
"Monkey-Lizard Swarm","Medium Swarm of Tiny beasts, unaligned. Fantasy token portrait: Monkey-Lizard Swarm"
"Moof","Large Beast, unaligned. Fantasy token portrait: Moof"
"Mott","Small Beast, unaligned. Fantasy token portrait: Mott"
"Mucous Salamander","Medium Beast, unaligned. Fantasy token portrait: Mucous Salamander"
"Mynock","Small Beast, unaligned. Fantasy token portrait: Mynock"
"Mynock Swarm","Large Swarm of Small beasts, unaligned. Fantasy token portrait: Mynock Swarm"
"NR-N99 Persuader-Class Enforcer","Huge Droid, unaligned. Fantasy token portrait: NR-N99 Persuader-Class Enforcer"
"Narglatch","Large Beast, unaligned. Fantasy token portrait: Narglatch"
"Navy Pilot","Medium Humanoid, lawful balanced. Fantasy token portrait: Navy Pilot"
"Navy Trooper","Medium Humanoid, unaligned. Fantasy token portrait: Navy Trooper"
"Nerf","Large Beast, unaligned. Fantasy token portrait: Nerf"
"Nuna","Tiny Beast, unaligned. Fantasy token portrait: Nuna"
"Officer, Junior","Medium Humanoid, unaligned. Fantasy token portrait: Officer, Junior"
"Officer, Senior","Medium Humanoid, unaligned. Fantasy token portrait: Officer, Senior"
"Opee Sea Killer","Gargantuan Beast, unaligned. Fantasy token portrait: Opee Sea Killer"
"Orbalisk","Tiny Beast, unaligned. Fantasy token portrait: Orbalisk"
"Orbalisk Swarm","Large Swarm of Tiny beasts, unaligned. Fantasy token portrait: Orbalisk Swarm"
"Pelko Bug","Tiny Beast, unaligned. Fantasy token portrait: Pelko Bug"
"Pelko Bug Swarm","Large Swarm of Tiny beasts, unaligned. Barbs (swarm has more than half HP)"
"Pistoeka sabotage droid","Tiny Droid, unaligned. Miniature Plasma Cutter"
"Porg","Tiny Beast, unaligned. Fantasy token portrait: Porg"
"Porg Swarm","Medium Swarm of Tiny beasts, unaligned. Fantasy token portrait: Porg Swarm"
"Probe Killer Swarm","Medium Swarm of Tiny droids, unaligned. Multiattack (swarm has more than half HP)"
"Purge Trooper","Medium Humanoid, lawful dark. Fantasy token portrait: Purge Trooper"
"R2 Series Astromech Droid","Small Droid, unaligned. Fantasy token portrait: R2 Series Astromech Droid"
"Rakghoul","Medium Aberration, unaligned. Fantasy token portrait: Rakghoul"
"Rakghoul, Hulking","Large Aberration, unaligned. Fantasy token portrait: Rakghoul, Hulking"
"Rancor, Adolescent","Large Beast, unaligned. Fantasy token portrait: Rancor, Adolescent"
"Rancor, Adult","Huge Beast, unaligned. Fantasy token portrait: Rancor, Adult"
"Rancor, Ancient","Huge Beast, unaligned. Fantasy token portrait: Rancor, Ancient"
"Rancor, Juvenile","Medium Beast, unaligned. Fantasy token portrait: Rancor, Juvenile"
"Rathtar","Large Beast, unaligned. Fantasy token portrait: Rathtar"
"Rathtar, Dwarf","Large Beast, unaligned. Fantasy token portrait: Rathtar, Dwarf"
"Reek, Adolescent","Large Beast, unaligned. Fantasy token portrait: Reek, Adolescent"
"Reek, Adult","Huge Beast, unaligned. Fantasy token portrait: Reek, Adult"
"Riot","Gargantuan Swarm of Medium humanoids, unaligned. Fantasy token portrait: Riot"
"Rock Wart","Small Beast, unaligned. Fantasy token portrait: Rock Wart"
"Ronto","Huge Beast, unaligned. Fantasy token portrait: Ronto"
"SD-K4 Assassin Droid","Large Droid, unaligned. Fantasy token portrait: SD-K4 Assassin Droid"
"Sando Aqua Monster","Gargantuan Beast, unaligned. Fantasy token portrait: Sando Aqua Monster"
"Sarlacc, Adult","Gargantuan Plant, unaligned. Fantasy token portrait: Sarlacc, Adult"
"Scrange","Huge Beast, unaligned. Fantasy token portrait: Scrange"
"Scurrier","Small Beast, unaligned. Fantasy token portrait: Scurrier"
"Shaak","Large Beast, unaligned. Fantasy token portrait: Shaak"
"Shrub","Small Plant, unaligned. Fantasy token portrait: Shrub"
"Shyrack","Small Beast, unaligned. Fantasy token portrait: Shyrack"
"Shyrack Swarm","Large Swarm of Small beasts, unaligned. Fantasy token portrait: Shyrack Swarm"
"Sibian Hound","Medium Beast, unaligned. Fantasy token portrait: Sibian Hound"
"Sith Probe Droid","Tiny Droid, unaligned. Fantasy token portrait: Sith Probe Droid"
"Sketto","Small Beast, unaligned. Fantasy token portrait: Sketto"
"Snow Wampa","Large Beast, unaligned. Fantasy token portrait: Snow Wampa"
"Spotlight Sloth","Medium Beast, unaligned. Fantasy token portrait: Spotlight Sloth"
"Starweird","Medium Aberration, chaotic balanced. Fantasy token portrait: Starweird"
"Steelpecker","Tiny Beast, unaligned. Fantasy token portrait: Steelpecker"
"Steep","Medium Beast, unaligned. Fantasy token portrait: Steep"
"Stintaril","Tiny Beast, unaligned. Fantasy token portrait: Stintaril"
"Stintaril Swarm","Medium Swarm of Tiny beasts, unaligned. Fantasy token portrait: Stintaril Swarm"
"Super Tactical Droid","Medium Droid, unaligned. Fantasy token portrait: Super Tactical Droid"
"Swamp Slug","Huge Beast, unaligned. Fantasy token portrait: Swamp Slug"
"Swamp Wampa","Large Beast, unaligned. Fantasy token portrait: Swamp Wampa"
"T-Series Tactical Droid","Medium Droid, lawful dark. Fantasy token portrait: T-Series Tactical Droid"
"T3-Series Utility Droid","Small Droid, unaligned. Fantasy token portrait: T3-Series Utility Droid"
"TX-225 Occupier Tank","Huge Construct, unaligned. Fantasy token portrait: TX-225 Occupier Tank"
"Tauntaun","Large Beast, unaligned. Fantasy token portrait: Tauntaun"
"Terentatek","Large Aberration, chaotic dark. Fantasy token portrait: Terentatek"
"Trandoshan Elite Warrior","Medium Humanoid, any dark. Fantasy token portrait: Trandoshan Elite Warrior"
"Trandoshan Hunter","Medium Humanoid, any dark. Fantasy token portrait: Trandoshan Hunter"
"Trandoshan Huntmaster","Medium Humanoid, any dark. Fantasy token portrait: Trandoshan Huntmaster"
"Trandoshan T'doshok","Medium Humanoid, lawful dark. Fantasy token portrait: Trandoshan T'doshok"
"Trandoshan Warrior","Medium Humanoid, any dark. Fantasy token portrait: Trandoshan Warrior"
"Tree","Large Plant, unaligned. Fantasy token portrait: Tree"
"Trooper","Medium Humanoid, any alignment. Fantasy token portrait: Trooper"
"Trooper, Captain","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Captain"
"Trooper, Demolitions","Medium Humanoid, any alignment. Fragmentation Grenade (3/day)"
"Trooper, Flame","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Flame"
"Trooper, Headhunter","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Headhunter"
"Trooper, Heavy","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Heavy"
"Trooper, Jump","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Jump"
"Trooper, Mounted","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Mounted"
"Trooper, Scout","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Scout"
"Trooper, Shore","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Shore"
"Trooper, Sniper","Medium Humanoid, any alignment. Fantasy token portrait: Trooper, Sniper"
"Trooper, Squad","Gargantuan Swarm of Medium humanoids, any alignment. Fantasy token portrait: Trooper, Squad"
"Tuk'ata","Large Aberration, lawful dark. Fantasy token portrait: Tuk'ata"
"Tusk Cat","Large Beast, unaligned. Fantasy token portrait: Tusk Cat"
"Tusken Brute","Medium Humanoid, chaotic dark. Fantasy token portrait: Tusken Brute"
"Tusken Chieftain","Medium Humanoid, chaotic dark. Fantasy token portrait: Tusken Chieftain"
"Tusken Raider","Medium Humanoid, chaotic dark. Fantasy token portrait: Tusken Raider"
"Twirrl","Tiny Beast, unaligned. Fantasy token portrait: Twirrl"
"Uprising","Gargantuan Swarm of Medium humanoids, unaligned. Fantasy token portrait: Uprising"
"Varactyl, Adolescent","Large Beast, unaligned. Fantasy token portrait: Varactyl, Adolescent"
"Varactyl, Adult","Large Beast, unaligned. Fantasy token portrait: Varactyl, Adult"
"Veermok","Large Beast, unaligned. Fantasy token portrait: Veermok"
"Vessel of Abeloth","Medium Undead, neutral dark. Fantasy token portrait: Vessel of Abeloth"
"Vesuvague Tree","Large Tree, unaligned. Fantasy token portrait: Vesuvague Tree"
"Vines","Large Plant, unaligned. Fantasy token portrait: Vines"
"Viper Probe Droid","Large Droid, unaligned. Fantasy token portrait: Viper Probe Droid"
"Vornskr","Small Beast, unaligned. Fantasy token portrait: Vornskr"
"Voxyn","Large Beast, chaotic balanced. Fantasy token portrait: Voxyn"
"Vulptex","Small Beast, unaligned. Fantasy token portrait: Vulptex"
"Vulture-Class Droid","Huge Droid, unaligned. Fantasy token portrait: Vulture-Class Droid"
"War Wyrm","Gargantuan Aberration, chaotic dark. Fantasy token portrait: War Wyrm"
"Weaponized Gonk Droid","Small Droid, unaligned. Fantasy token portrait: Weaponized Gonk Droid"
"Whisper Bird","Tiny Beast, unaligned. Fantasy token portrait: Whisper Bird"
"Woodoo","Large Beast, unaligned. Fantasy token portrait: Woodoo"
"Wookiee Berserker","Medium Humanoid, unaligned. Fantasy token portrait: Wookiee Berserker"
"Wookiee Engineer","Medium Humanoid, unaligned. Fantasy token portrait: Wookiee Engineer"
"Wookiee Hunter","Medium Humanoid, unaligned. Fantasy token portrait: Wookiee Hunter"
"Worrt","Medium Beast, unaligned. Fantasy token portrait: Worrt"
"Wraid","Large Beast, unaligned. Fantasy token portrait: Wraid"
"Wyyyschokk","Medium Beast, unaligned. Fantasy token portrait: Wyyyschokk"
"Ysalamir","Small Beast, unaligned. Fantasy token portrait: Ysalamir"
"Ysalamiri Swarm","Medium Swarm of Tiny beasts, unaligned. Fantasy token portrait: Ysalamiri Swarm"
"Z-58 Series Security Droid","Tiny Droid, unaligned. Fantasy token portrait: Z-58 Series Security Droid"
"Zalaaca","Large Beast, unaligned. Fantasy token portrait: Zalaaca"
